date,open,high,low,close,volume
2026-01-01 13:15:00+05:30,1636.3,1638.5,1636.3,1638.5,15466
2026-01-01 13:20:00+05:30,1637.9,1638.5,1634.3,1634.7,30313
2026-01-01 13:25:00+05:30,1634.4,1635.4,1633.6,1635.0,141046
2026-01-01 13:30:00+05:30,1635.3,1635.4,1633.0,1633.5,62524
2026-01-01 13:35:00+05:30,1633.5,1634.1,1632.0,1633.6,73942
2026-01-01 13:40:00+05:30,1633.6,1633.8,1632.5,1633.5,10838
2026-01-01 13:45:00+05:30,1632.7,1634.8,1632.2,1634.1,61926
2026-01-01 13:50:00+05:30,1634.1,1635.8,1634.0,1634.5,80421
2026-01-01 13:55:00+05:30,1634.4,1635.1,1633.3,1634.1,13086
2026-01-01 14:00:00+05:30,1634.1,1636.8,1633.5,1635.4,15023
2026-01-01 14:05:00+05:30,1636.1,1636.1,1635.0,1635.3,14278
2026-01-01 14:10:00+05:30,1635.0,1636.3,1635.0,1636.0,16128
2026-01-01 14:15:00+05:30,1635.5,1636.2,1635.1,1635.6,13112
2026-01-01 14:20:00+05:30,1635.5,1636.1,1634.4,1634.8,49689
2026-01-01 14:25:00+05:30,1634.8,1636.0,1634.0,1634.0,28819
2026-01-01 14:30:00+05:30,1634.0,1635.4,1634.0,1635.2,9759
2026-01-01 14:35:00+05:30,1635.3,1635.7,1634.6,1635.0,13957
2026-01-01 14:40:00+05:30,1635.0,1635.5,1632.2,1632.8,52775
2026-01-01 14:45:00+05:30,1632.8,1633.8,1631.0,1631.4,77705
2026-01-01 14:50:00+05:30,1631.4,1632.9,1631.1,1631.2,52277
2026-01-01 14:55:00+05:30,1631.2,1632.7,1631.2,1631.8,21725
2026-01-01 15:00:00+05:30,1632.1,1632.1,1627.5,1631.7,138534
2026-01-01 15:05:00+05:30,1631.1,1634.7,1631.1,1631.3,263753
2026-01-01 15:10:00+05:30,1631.5,1631.5,1628.6,1629.3,113471
2026-01-01 15:15:00+05:30,1629.4,1630.0,1627.2,1628.0,168621
2026-01-01 15:20:00+05:30,1628.0,1629.5,1626.9,1629.1,231093
2026-01-01 15:25:00+05:30,1628.9,1631.7,1628.0,1629.5,49006
